,Timestamp,idx,gaze_x,gaze_y,gaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadBox_xmin,HeadBox_ymin,RightEyeBox_xmin,RightEyeBox_ymin,LeftEyeBox_xmin,LeftEyeBox_ymin,ROpenClose,LOpenClose,set_x,set_y,set_z,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG
0,1752789364.198018,0.0,-0.5207677649826434,-0.033756277241836385,0.8530307543681679,0.0,0.0,0.0,0.0,31.403697783347926,-1.9344597184204997,0.0,613.0,245.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1752789364.350222,0.0,-0.4771107574001462,0.030496971388614652,0.8783139057216636,0.0,0.0,0.0,0.0,28.511345479149966,1.747618719831098,0.0,607.0,243.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1752789364.510943,0.0,-0.4690364679152764,-0.006201462374730987,0.8831570714283521,0.0,0.0,0.0,0.0,27.972353670369696,-0.35531989839621775,0.0,604.0,243.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1752789364.659473,0.0,-0.4328465987463295,0.1013547334979373,0.8957516654707507,0.0,0.0,0.0,0.0,25.790839120855725,5.817187389322995,0.0,605.0,242.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1752789364.813455,0.0,-0.5303248775537418,-0.0450948573665563,0.8465943750855712,0.0,0.0,0.0,0.0,32.06391168648853,-2.5846215012859854,0.0,607.0,242.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1752789364.944634,0.0,-0.5096935267073707,0.011137617128228333,0.8602839637462405,0.0,0.0,0.0,0.0,30.645522747350732,0.6381516491585498,0.0,606.0,242.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1752789365.07685,0.0,-0.5190582529805067,0.023345766561524733,0.8544200067459634,0.0,0.0,0.0,0.0,31.278587574750414,1.337735428744359,0.0,605.0,240.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1752789365.207775,0.0,-0.5514114473089211,0.03809969859737922,0.8333629711756491,0.0,0.0,0.0,0.0,33.49141900111285,2.1834803997462267,0.0,605.0,238.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1752789365.37571,0.0,-0.552765440893642,0.04175059881149398,0.8322903574217079,0.0,0.0,0.0,0.0,33.590115108941106,2.392828609255141,0.0,600.0,238.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1752789365.50123,0.0,-0.5125220297451814,0.002948543363354983,0.8586689902806646,0.0,0.0,0.0,0.0,30.83211672310172,0.16893933522265764,0.0,598.0,237.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
